プロジェクト,年度,大項目,明細,単価,数量,単位,事業費,人件費・管理費,備考
サンプル創業支援事業,2026,全体企画・進行,プロジェクトマネージャー,50000,12,日,,600000,0.5日/月×12ヶ月
サンプル創業支援事業,2026,全体企画・進行,アシスタント,20000,12,日,,240000,0.5日/月×12ヶ月
サンプル創業支援事業,2026,全体企画・進行,移動費,10000,6,回,60000,,現地訪問 交通費
サンプル創業支援事業,2026,セミナー・イベント実施,講師謝金,100000,3,回,300000,,年3回開催
サンプル創業支援事業,2026,セミナー・イベント実施,会場費,50000,3,回,150000,,年3回開催
サンプル創業支援事業,2026,セミナー・イベント実施,運営スタッフ,20000,6,日,,120000,1回あたり2日×3回
サンプル創業支援事業,2026,支援金,検証資金,50000,8,件,400000,,1件50000円
サンプル創業支援事業,2026,支援金,開業支援金,200000,2,件,400000,,1グループ200000円
サンプル創業支援事業,2026,広報・PR,Web制作・運用,30000,6,日,180000,,外部委託
サンプル創業支援事業,2026,広報・PR,広告費,10000,9,回,90000,,月次SNS広告
サンプル創業支援事業,2026,広報・PR,サーバー利用料,2500,12,ヶ月,30000,,年間契約
サンプル創業支援事業,2026,事務局運営,事務局担当,40000,12,日,,480000,1日/月×12ヶ月
サンプル創業支援事業,2026,事務局運営,通信・消耗品,15000,12,ヶ月,180000,,月次
