month,category,amount
2025-07,人件費,1200000
2025-08,人件費,1200000
2025-09,人件費,1250000
2025-10,人件費,1250000
2025-11,人件費,1250000
2025-12,人件費,2100000
2026-01,人件費,1250000
2026-02,人件費,1250000
2026-03,人件費,1300000
2026-04,人件費,1350000
2026-05,人件費,1350000
2026-06,人件費,2200000
2025-07,外注費,180000
2025-08,外注費,150000
2025-09,外注費,320000
2025-10,外注費,90000
2025-11,外注費,410000
2025-12,外注費,120000
2026-01,外注費,60000
2026-02,外注費,280000
2026-03,外注費,150000
2026-04,外注費,95000
2026-05,外注費,340000
2026-06,外注費,110000
2025-07,家賃,220000
2025-08,家賃,220000
2025-09,家賃,220000
2025-10,家賃,220000
2025-11,家賃,220000
2025-12,家賃,220000
2026-01,家賃,230000
2026-02,家賃,230000
2026-03,家賃,230000
2026-04,家賃,230000
2026-05,家賃,230000
2026-06,家賃,230000
