プロジェクト,年度,大項目,区分,明細,単価,数量,単位,金額,備考
サンプル事業,2026,事業の企画運営,人件費・管理費,企画・進行,30000,6,日,180000,0.5日/月×12か月稼働
サンプル事業,2026,事業の企画運営,人件費・管理費,現場運営,25000,12,日,300000,1日/月×12か月稼働
サンプル事業,2026,事業の企画運営,事業費,会場使用料,20000,3,回,60000,年3回開催
サンプル事業,2026,セミナーの実施,事業費,講師謝金,50000,4,回,200000,年4回
サンプル事業,2026,セミナーの実施,事業費,会場費,30000,4,回,120000,年4回
サンプル事業,2026,セミナーの実施,人件費・管理費,運営,25000,8,日,200000,2日/回×4回
サンプル事業,2026,支援金の交付,事業費,検証資金,50000,8,件,400000,1件あたり50000円・採択件数に依存
サンプル事業,2026,支援金の交付,事業費,開業支援資金,200000,2,件,400000,1グループあたり200000円
サンプル事業,2026,広報,事業費,サイト制作,30000,6,日,180000,
サンプル事業,2026,広報,事業費,サーバー利用料,2500,12,月,30000,年間契約・月額固定
サンプル事業,2026,広報,事業費,広告出稿,10000,9,回,90000,月1回×9か月
