"取引No","取引日","借方勘定科目","借方部門","借方金額(円)","貸方勘定科目","貸方金額(円)","摘要"
"1","2026/04/03","通信費","サンプル創業支援事業","8500","未払金","8500","サーバー利用料 4月分"
"2","2026/04/05","旅費交通費","サンプル創業支援事業","12400","未払金","12400","キックオフ打合せ 交通費"
"3","2026/04/05","会議費","サンプル創業支援事業","6800","未払金","6800","キックオフ打合せ 会場費"
"4","2026/04/12","備品・消耗品費","サンプル創業支援事業","23000","未払金","23000","事務用品 購入"
"5","2026/04/20","業務委託費","サンプル創業支援事業","120000","未払金","120000","3月分 事務局業務委託"
"6","2026/04/28","支払手数料","サンプル創業支援事業","880","普通預金","880","振込手数料"
"7","2026/05/02","通信費","サンプル創業支援事業","8500","未払金","8500","サーバー利用料 5月分"
"8","2026/05/10","広告宣伝費","サンプル創業支援事業","15000","未払金","15000","SNS広告 5月"
"9","2026/05/15","旅費交通費","サンプル創業支援事業","18600","未払金","18600","第1回セミナー 移動費"
"10","2026/05/15","会議費","サンプル創業支援事業","42000","未払金","42000","第1回セミナー 会場費"
"11","2026/05/22","備品・消耗品費","サンプル創業支援事業","9800","未払金","9800","セミナー資材"
"12","2026/05/30","支払手数料","サンプル創業支援事業","440","普通預金","440","振込手数料"
"13","2026/06/01","通信費","サンプル創業支援事業","8500","未払金","8500","サーバー利用料 6月分"
"14","2026/06/08","広告宣伝費","サンプル創業支援事業","15000","未払金","15000","SNS広告 6月"
"15","2026/06/15","旅費交通費","サンプル創業支援事業","9200","未払金","9200","現地訪問 交通費"
"16","2026/06/20","業務委託費","サンプル創業支援事業","60000","未払金","60000","Web制作 一部"
"17","2026/06/25","支払手数料","サンプル創業支援事業","440","普通預金","440","振込手数料"
